,nsecode,per_chg,close,trigger_price,stoploss,target,qty
0,CANFINHOME,6.94,667.55,674.2,694.4,640.5,7
1,GSPL,5.19,314.2,317.3,326.8,301.4,15
2,DEEPAKNTR,4.33,2362.4,2386.0,2457.6,2266.7,2
3,CANBK,4.21,269.65,272.3,280.5,258.7,18
4,AUBANK,3.7,1396.8,1410.8,1453.1,1340.3,3
5,GODREJPROP,3.53,1782.2,1800.0,1854.0,1710.0,2
6,TRENT,3.5,1097.55,1108.5,1141.8,1053.1,4
7,APOLLOHOSP,3.42,4666.3,4713.0,4854.4,4477.3,1
8,HCLTECH,3.37,1170.95,1182.7,1218.2,1123.6,4
9,ABCAPITAL,3.23,126.25,127.5,131.3,121.1,39
